POPULATION,LATITUDE,LONGITUDE,Total_units,Vacant_units,Median_rooms,Mean_household_size_owners,Mean_household_size_renters,Owners,Median_household_income,Mean_household_income,Built_1990_or_later,Bedrooms_4_or_more,Median_Value
3944,33.640129,-117.694013,1360,0,7.6,2.81,4.24,83.8,126989,138807,0.9,64.6,643800
4006,33.633569,-117.689373,1323,90,6.3,3.29,4.62,86.4,101782,108117,4.7,51.7,504600
6771,33.705384,-117.762416,2453,140,6.7,2.76,3.64,87.2,119536,127151,13.3,44.1,681400
12096,33.697638,-117.754329,4806,342,4.1,2.58,2.42,36.9,89427,108108,81.9,7.2,638400
3456,33.759183,-117.765705,1166,0,6.2,2.99,2.04,91.6,121905,140218,99.2,46.5,745600
21098,33.732193,-117.766752,7108,212,6,3.32,2.44,73.6,130344,162734,97.2,43.5,796400
5111,33.718244,-117.759576,1962,39,6.2,2.68,2.4,79.1,100493,125693,3,40.4,694300
4165,33.665126,-117.685337,1534,85,6,3.12,2.58,79,115496,122972,32.1,38.1,603600
5545,33.656113,-117.66672,2174,189,3.8,2.55,2.51,34.9,76308,98404,24.3,15.8,643100
5015,33.644332,-117.677203,1926,48,4.6,2.34,2.83,68.5,74241,97372,6.5,18.7,412500
5865,33.654791,-117.680755,2404,43,4.3,2.35,1.99,50.9,80948,99917,5.4,13.7,469800
7957,33.695069,-117.691212,2592,179,5.1,2.87,2.25,65.8,121005,136992,91.7,26.9,650300
5119,33.684812,-117.652411,1792,77,6.3,3.33,2.16,83.3,115771,122515,91.4,43.7,602400
6217,33.681251,-117.630601,2273,42,5.5,3.01,2.51,85.7,116440,138487,55.5,33.1,509300
5913,33.721989,-117.81446,2008,31,6.3,3.12,4.02,87.6,84575,113421,4.9,46,539000
4916,33.692319,-117.77529,1977,217,4.9,2.51,2.55,68.9,79792,84252,9,17.6,442000
2490,33.684729,-117.779725,867,0,7.1,2.81,5.63,93.8,98750,121622,0,67.2,635000
5672,33.685385,-117.799353,2214,122,5.5,2.69,2.37,63.1,91696,102318,3.1,27.7,676400
5675,33.678977,-117.787594,2374,84,4.9,2.85,2.44,57.2,76324,113997,8.4,17.2,624200
5327,33.669213,-117.796794,2144,44,4.7,2.49,2.31,52.2,76532,98128,16.9,17.2,667000
8833,33.691196,-117.809136,3304,123,4.5,2.84,2.73,47.4,98491,117563,91.2,23.2,676400
10096,33.666909,-117.78042,4235,287,4.2,2.46,2.43,44.6,98838,106476,66,13.2,551500
4212,33.671665,-117.813927,1648,105,5.2,2.76,2.71,73.5,85694,101123,2.9,15.8,478700
3460,33.673363,-117.808334,1341,0,5.6,2.55,3.03,67.8,94838,118848,6.9,20.4,645500
5391,33.683629,-117.824298,2219,216,3.9,2.03,2.4,17.7,70668,79413,60.8,0,384300
4123,33.680509,-117.821564,1474,51,5.1,2.92,2.81,42.8,104779,119839,27.6,10.3,699400
4175,33.674572,-117.826896,1548,46,5,3.2,2.63,44.5,104231,114036,34,37.3,679500
7952,33.731609,-117.796236,3042,161,4.8,2.7,2.9,45.8,89446,109085,53.6,13.8,610600
15473,33.716409,-117.77753,5743,235,4.9,3.16,2.23,52.4,89934,113386,57.4,27.1,735400
4355,33.699439,-117.784766,1359,7,6,3.01,4.29,82.5,92891,120971,3.4,53.2,570300
8391,33.706167,-117.793552,2790,35,6.1,2.88,3.23,67.8,115949,117818,32.5,44.4,634900
3469,33.693059,-117.791336,1270,23,5.7,2.85,2.59,64.7,91910,105491,6,27.4,564000
6393,33.668627,-117.850022,4103,890,3.6,1.47,1.78,27,74429,100799,89.2,0,430100
4105,33.666105,-117.829775,1751,128,4.2,1.93,2.56,25.9,58320,67736,10.4,0.5,597000
8186,33.661772,-117.813918,2759,76,5.8,2.67,2.87,68.2,102565,110325,3.9,19.2,608500
14044,33.644351,-117.834937,3725,179,4.2,2.76,2.56,25.3,31750,68507,60.3,18.7,406400
4800,33.622299,-117.739814,1924,10,5.2,2.68,2.84,78.1,77313,91559,4.4,11.3,398000
